date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-26,California,State,Gamma,0.0,0.0,0.28571428571,0.193798449612
2021-01-26,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Epsilon,336.0,60.0,84.71428571428,57.461240310078
2021-01-26,California,State,Total,560.0,100.0,147.42857142857,100.0
2021-01-26,California,State,Alpha,9.0,1.61,11.42857142857,7.751937984496
2021-01-26,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-26,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-27,California,State,Alpha,12.0,1.73,11.0,5.164319248826
2021-01-27,California,State,Other,226.0,32.52,72.0,33.802816901408
2021-01-27,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-27,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-27,California,State,Epsilon,457.0,65.76,129.71428571428,60.898725687458
2021-01-27,California,State,Total,695.0,100.0,213.0,100.0
2021-01-27,California,State,Delta,0.0,0.0,0.28571428571,0.134138162307
2021-01-27,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-28,California,State,Epsilon,529.0,61.58,201.42857142857,61.842105263158
2021-01-28,California,State,Gamma,3.0,0.35,0.42857142857,0.131578947368
2021-01-28,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-28,California,State,Beta,2.0,0.23,0.28571428571,0.087719298246
2021-01-28,California,State,Total,859.0,100.0,325.71428571428,100.0
2021-01-28,California,State,Other,299.0,34.81,112.57142857142,34.561403508772
2021-01-28,California,State,Alpha,25.0,2.91,10.71428571428,3.289473684211
2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-28,California,State,Delta,1.0,0.12,0.28571428571,0.087719298246
2021-01-28,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Gamma,2.0,0.93,0.71428571428,0.202922077922
2021-01-29,California,State,Delta,1.0,0.46,0.28571428571,0.081168831169
2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-29,California,State,Other,55.0,25.46,118.85714285714,33.766233766234
2021-01-29,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-29,California,State,Beta,0.0,0.0,0.28571428571,0.081168831169
2021-01-29,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Total,216.0,100.0,352.0,100.0
2021-01-29,California,State,Alpha,10.0,4.63,11.14285714285,3.165584415584
2021-01-29,California,State,Epsilon,148.0,68.52,220.71428571428,62.702922077922
2021-01-30,California,State,Alpha,2.0,1.9,9.85714285714,2.705882352941
2021-01-30,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-30,California,State,Other,27.0,25.71,122.28571428571,33.56862745098
2021-01-30,California,State,Beta,0.0,0.0,0.28571428571,0.078431372549
2021-01-30,California,State,Gamma,0.0,0.0,0.71428571428,0.196078431373
2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Delta,0.0,0.0,0.28571428571,0.078431372549
2021-01-30,California,State,Epsilon,76.0,72.38,230.85714285714,63.372549019608
2021-01-30,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-30,California,State,Total,105.0,100.0,364.28571428571,100.0
2021-01-31,California,State,Delta,0.0,0.0,0.28571428571,0.072859744991
